EVENT,SEQ,FATAL
20110830X74740,Unknown - Unknown or undetermined,1
20111124X85300,Enroute - Controlled flight into terr/obj (CFIT),1
20120607X54234,Enroute-climb to cruise - Loss of control in flight,1
20120607X54234,Enroute-climb to cruise - Miscellaneous/other,1
20120607X54234,Uncontrolled descent - Aircraft structural failure,1
20120607X54234,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20131119X35400,Enroute-cruise - Loss of control in flight,1
20141208X40306,Approach-IFR final approach - Collision with terr/obj (non-CFIT),1
20141208X40306,Approach-IFR final approach - Loss of control in flight,1
20141208X40306,Enroute-descent - Structural icing,1
20150825X61602,Unknown - Unknown or undetermined,1
20160127X54729,Takeoff - Loss of engine power (total),1
20160812X50604,Landing-flare/touchdown - Landing area overshoot,1
20160814X40011,Approach-IFR final approach - Loss of engine power (partial),1
20160913X65358,Unknown - Unknown or undetermined,1
20161230X91745,Initial climb - Unknown or undetermined,1
20080130X00124,Approach-VFR pattern downwind - Midair collision,1
20080311X00297,Initial climb - Birdstrike,1
20080708X00984,Initial climb - Loss of control in flight,1
20080708X00984,Post-impact - Fire/smoke (post-impact),1
20080708X00984,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20080808X01194,Initial climb - Loss of control in flight,1
20080808X01194,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20081022X22919,Takeoff - Loss of engine power (partial),1
20081211X45825,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20081211X45825,Enroute-cruise - VFR encounter with IMC,1
20090509X11335,Maneuvering-low-alt flying - Abrupt maneuver,1
20090509X11335,Maneuvering-low-alt flying - Aerodynamic stall/spin,1
20090509X11335,Maneuvering-low-alt flying - Collision with terr/obj (non-CFIT),1
20090515X42453,Approach-VFR pattern final - Controlled flight into terr/obj (CFIT),1
20090709X74830,Enroute-cruise - Aircraft structural failure,1
20090709X74830,Enroute-cruise - Loss of control in flight,1
20090709X74830,Enroute-cruise - Turbulence encounter,1
20090709X74830,Enroute-cruise - Windshear or thunderstorm,1
20090905X31040,Initial climb - Altitude deviation,1
20090905X31040,Initial climb - Other weather encounter,1
20090905X31040,Maneuvering - Controlled flight into terr/obj (CFIT),1
20090905X31040,Prior to flight - Preflight or dispatch event,1
20090905X31040,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20091029X01818,Approach - Unknown or undetermined,1
20100214X92140,Enroute-descent - Inflight upset,1
20100214X92140,Enroute-descent - Part(s) separation from AC,1
20100214X92140,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20100215X82210,Maneuvering-low-alt flying - Abrupt maneuver,1
20100215X82210,Maneuvering-low-alt flying - Aircraft structural failure,1
20100215X82210,Maneuvering-low-alt flying - Part(s) separation from AC,1
20100215X82210,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20100301X24939,Approach-VFR pattern final - Controlled flight into terr/obj (CFIT),1
20100615X84020,Takeoff - Collision with terr/obj (non-CFIT),1
20100617X45846,Approach - Aerodynamic stall/spin,1
20100704X15412,Initial climb - Controlled flight into terr/obj (CFIT),1
20100810X62027,Enroute - Controlled flight into terr/obj (CFIT),1
20101021X71005,Unknown - Unknown or undetermined,1
20110316X63443,Initial climb - Loss of control in flight,1
20110316X63443,Initial climb - Loss of engine power (partial),1
20110316X63443,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20110528X21434,Initial climb - Aerodynamic stall/spin,1
20110528X21434,Takeoff - Loss of control on ground,1
20110528X21434,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20110704X21533,Enroute-cruise - Loss of control in flight,1
20110704X21533,Enroute-cruise - VFR encounter with IMC,1
20110704X21533,Enroute-cruise - Windshear or thunderstorm,1
20110704X21533,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20111110X01102,Maneuvering-low-alt flying - Aircraft structural failure,1
20111110X01102,Maneuvering-low-alt flying - Altitude deviation,1
20111110X01102,Maneuvering-low-alt flying - Collision with terr/obj (non-CFIT),1
20111110X01102,Maneuvering-low-alt flying - Other weather encounter,1
20111110X01102,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20111208X52528,Enroute-cruise - Part(s) separation from AC,1
20111208X52528,Enroute-cruise - Sys/Comp malf/fail (non-power),1
20111208X52528,Prior to flight - Aircraft maintenance event,1
20111208X52528,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20111219X15943,Enroute - Loss of control in flight,1
20111219X15943,Enroute - Other weather encounter,1
20111219X15943,Uncontrolled descent - Aircraft structural failure,1
20111220X20005,Enroute-climb to cruise - Loss of control in flight,1
20111220X20005,Enroute-climb to cruise - Other weather encounter,1
20111220X20005,Enroute-climb to cruise - Structural icing,1
20111220X20005,Uncontrolled descent - Aircraft structural failure,1
20111220X20005,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20120124X90813,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20120315X52136,Landing-aborted after touchdown - Collision with terr/obj (non-CFIT),1
20120315X52136,Landing-aborted after touchdown - Loss of control on ground,1
20120315X52136,Landing-flare/touchdown - Abnormal runway contact,1
20120315X52136,Landing-flare/touchdown - Landing area overshoot,1
20120827X12111,Initial climb - Collision during takeoff/land,1
20120827X12111,Initial climb - Controlled flight into terr/obj (CFIT),1
20120827X12111,Initial climb - Loss of engine power (partial),1
20120915X35028,Approach-IFR initial approach - Loss of control in flight,1
20120915X35028,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20130107X01002,Maneuvering - Loss of control in flight,1
20130208X95843,Enroute-cruise - Unknown or undetermined,1
20130220X11432,Approach - Miscellaneous/other,1
20130220X11432,Approach-VFR go-around - Controlled flight into terr/obj (CFIT),1
20130220X11432,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20130728X45845,Enroute-cruise - VFR encounter with IMC,1
20130728X45845,Maneuvering-low-alt flying - Loss of control in flight,1
20130728X45845,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20131108X91955,Enroute - Unknown or undetermined,1
20131111X23645,Approach-IFR final approach - Unknown or undetermined,1
20131122X51319,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20131210X61510,Enroute-climb to cruise - Unknown or undetermined,1
20131216X13812,Enroute-cruise - Altitude deviation,1
20131216X13812,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20131216X13812,Enroute-cruise - Fuel related,1
20131216X13812,Enroute-cruise - Loss of engine power (partial),1
20131216X13812,Enroute-cruise - Structural icing,1
20140110X60417,Unknown - Controlled flight into terr/obj (CFIT),1
20140312X43048,Post-impact - Fire/smoke (post-impact),1
20140322X03239,Approach-IFR initial approach - Aerodynamic stall/spin,1
20140322X03239,Approach-IFR initial approach - Loss of control in flight,1
20140322X03239,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20140401X91539,Takeoff - Loss of control in flight,1
20140603X74327,Enroute - Loss of control in flight,1
20140831X12212,Approach-VFR go-around - Aerodynamic stall/spin,1
20150113X15218,Initial climb - Loss of engine power (total),1
20150603X52324,Unknown - Unknown or undetermined,1
20150816X60452,Approach-VFR pattern base - Midair collision,1
20150816X60452,Approach-VFR pattern base - Midair collision,1
20150816X60452,Approach-VFR pattern downwind - Midair collision,1
20150816X60452,Approach-VFR pattern downwind - Midair collision,1
20150916X80028,Maneuvering - Aerodynamic stall/spin,1
20160129X20531,Unknown - Unknown or undetermined,1
20160404X74644,Maneuvering - Unknown or undetermined,1
20160523X75309,Takeoff - Loss of control in flight,1
20160705X35534,Enroute - Unknown or undetermined,1
20160719X41739,Enroute - Loss of control in flight,1
20160725X51721,Takeoff - Unknown or undetermined,1
20160831X62719,Enroute - Midair collision,1
20160831X62719,Enroute - Midair collision,1
20010304X00536,Enroute - Security/criminal event,1
20080219X00209,Enroute - Controlled flight into terr/obj (CFIT),1
20080219X00209,Enroute - VFR encounter with IMC,1
20080321X00349,Maneuvering-low-alt flying - Aerodynamic stall/spin,1
20080321X00349,Maneuvering-low-alt flying - Collision with terr/obj (non-CFIT),1
20080421X00524,Autorotation - Collision with terr/obj (non-CFIT),1
20080421X00524,Enroute - Controlled flight into terr/obj (CFIT),1
20080530X00756,Approach - Aerodynamic stall/spin,1
20080530X00756,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20080613X00858,Enroute-climb to cruise - Controlled flight into terr/obj (CFIT),1
20080613X00858,Enroute-climb to cruise - Loss of visual reference,1
20080707X00983,Enroute-climb to cruise - Controlled flight into terr/obj (CFIT),1
20080711X01020,Initial climb - Loss of control in flight,1
20080711X01020,Initial climb - VFR encounter with IMC,1
